Signal,LookAhead,Nunits,Bayesian_Dropout,Median_APE,Median_RSE,Mu_APE,Mu_RSE
TS_ARIMA,5,10,0.2,1.234731754289058,0.3225067028022139,5.3854753743626596,0.3252066820269238
TS_ARIMA,5,25,0,1.2347393827060478,0.32228550756743246,5.391927623584559,0.3248888424611185
TS_ARIMA,5,25,0.05,1.2309779263315859,0.3221121534946474,5.483508487690171,0.3248586332054743
TS_ARIMA,5,25,0.1,1.2372276098253727,0.32182717496337054,5.3999551594556365,0.32507477476834756
TS_ARIMA,5,25,0.2,1.2386671705309507,0.32167474653263095,5.40592127884028,0.3249309496713036
TS_ARIMA,5,50,0,1.2353365522059803,0.32234207964496997,5.410542153511546,0.3245472989358974
TS_ARIMA,5,50,0.05,1.2355847192743328,0.32154754392424123,5.469470095644748,0.3247252532441961
TS_ARIMA,5,50,0.1,1.237993837977808,0.32214638004870844,5.478295611759394,0.3248143024183272
TS_ARIMA,5,50,0.2,1.2406110516953452,0.3220599199063882,5.384658820680526,0.3247104220626427
TS_ARIMA,10,1,0,1.346956356900709,0.3330821130120142,6.260087532627604,0.33732194110540903
TS_ARIMA,10,1,0.05,1.3472986628116264,0.33328950359733167,6.16354529984521,0.33760692286344324
TS_ARIMA,10,1,0.1,1.3470494253227367,0.3335591217508811,6.1558217364666845,0.3375280495332305
TS_ARIMA,10,1,0.2,1.3482632082840054,0.33356622445148554,6.158656627393109,0.33763651239232567
TS_ARIMA,10,5,0,1.3384725402952449,0.3335507278999926,6.14534931109555,0.3373752379976832
TS_ARIMA,10,5,0.05,1.341413691360773,0.333401346509078,6.114945060295155,0.3374323053249536
TS_ARIMA,10,5,0.1,1.3388984444068912,0.333720972103736,6.071392286376156,0.3377344506141534
TS_ARIMA,10,5,0.2,1.3384725137027123,0.3336099671876504,6.03785004357509,0.3375245555149058
TS_ARIMA,10,10,0,1.3413155113066149,0.33422358242576455,6.123317599661336,0.3374378029630522
TS_ARIMA,10,10,0.05,1.3393082262963918,0.33418347838599693,5.987669116083912,0.33759142929241753
TS_ARIMA,10,10,0.1,1.3384989770264293,0.3339415853087579,6.160099120624638,0.3375864399831359
TS_ARIMA,10,10,0.2,1.3344765601467978,0.3346886122113425,6.034720643002412,0.3378776073180158
